GEOID,fd_rate
19102,2258
19103,2245
19104,777
19106,1940
19107,1747
19111,579
19114,791
19115,1154
19116,666
19118,1159
19119,1138
19120,322
19121,555
19122,531
19123,1205
19124,304
19125,786
19126,831
19127,852
19128,859
19129,1207
19130,1499
19131,728
19132,479
19133,301
19134,317
19135,386
19136,581
19137,542
19138,507
19139,498
19140,380
19141,430
19142,320
19143,706
19144,666
19145,727
19146,1458
19147,1395
19148,703
19149,342
19150,809
19151,535
19152,683
19153,640
19154,706
19102,
19103,
19104,
19106,
19107,
19111,
19114,
19115,
19116,
19118,
19119,
19120,
19121,
19122,
19123,
19124,
19125,
19126,
19127,
19128,
19129,
19130,
19131,
19132,
19133,
19134,
19135,
19136,
19137,
19138,
19139,
19140,
19141,
19142,
19143,
19144,
19145,
19146,
19147,
19148,
19149,
19150,
19151,
19152,
19153,
19154,
